id,timestamp,user_id,action,reason,price_sek,target_power_kw,reported_soc,house_base_load_kw
27174,2026-03-06 09:25:34.434833+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (5.0% <= 15.0%),0.8902,0,5,3
27172,2026-03-06 09:20:34.387814+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (5.0% <= 15.0%),0.8902,0,5,3
27170,2026-03-06 09:15:34.378363+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),0.8902,0,9,3
27168,2026-03-06 09:10:34.45308+00,851fa107-49ce-47d8-9b95-3d723bc32df4,IDLE,Solar Override (Local),0.93775,0,10,3
27166,2026-03-06 09:05:34.406819+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (10.0% <= 15.0%),0.93775,0,10,3
27164,2026-03-06 09:00:34.485241+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (9.0% <= 15.0%),0.93775,0,9,3
27162,2026-03-06 08:55:34.465857+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (8.0% <= 15.0%),0.8805875,0,8,3
27160,2026-03-06 08:50:34.579917+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (7.0% <= 15.0%),0.8805875,0,7,3
27158,2026-03-06 08:45:34.519082+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.8805875,0,6,3
27156,2026-03-06 08:40:34.409333+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.91825,0,6,3
27154,2026-03-06 08:35:33.939338+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.91825,0,6,3
27152,2026-03-06 08:30:33.467794+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.91825,0,6,3
27150,2026-03-06 08:25:32.660616+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.9445625,0,6,3
27148,2026-03-06 08:20:32.425526+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.9445625,0,6,3
27146,2026-03-06 08:15:32.46764+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.9445625,0,6,3
27144,2026-03-06 08:10:32.387389+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),1.1093875,0,6,3
27142,2026-03-06 08:05:31.781373+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),1.1093875,0,6,3
27139,2026-03-06 08:00:31.340071+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),1.1093875,0,6,3
27137,2026-03-06 07:55:31.584336+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.9129125,0,6,3
27135,2026-03-06 07:50:31.40603+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.9129125,0,6,3
27133,2026-03-06 07:45:31.553158+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),0.9129125,0,6,3
27131,2026-03-06 07:40:31.38312+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),1.0447375,0,6,3
27129,2026-03-06 07:35:31.406662+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),1.0447375,0,6,3
27127,2026-03-06 07:30:31.4327+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),1.0447375,0,6,3
27125,2026-03-06 07:25:31.583798+00,851fa107-49ce-47d8-9b95-3d723bc32df4,HOLD,Buffer Protection (6.0% <= 15.0%),1.1958,0,6,3
